Line0 : (0,82)(1,85)(2,98)(3,98)(4,115)(5,96)(6,124)(7,90)(8,109)(9,103)
Line44 : (0,111)(1,94)(2,100)(3,118)(4,91)(5,103)(6,89)(7,93)(8,72)(9,129)
Line45 : (0,105)(1,104)(2,96)(3,98)(4,89)(5,95)(6,96)(7,107)(8,113)(9,97)
Line46 : (0,106)(1,100)(2,95)(3,107)(4,106)(5,95)(6,96)(7,106)(8,91)(9,98)
Line47 : (0,88)(1,116)(2,89)(3,91)(4,96)(5,112)(6,98)(7,107)(8,106)(9,97)
Line48 : (0,92)(1,98)(2,119)(3,87)(4,98)(5,102)(6,98)(7,114)(8,95)(9,97)
Line49 : (0,107)(1,107)(2,98)(3,79)(4,112)(5,87)(6,107)(7,102)(8,118)(9,83)
Line50 : (0,112)(1,120)(2,91)(3,81)(4,94)(5,105)(6,105)(7,101)(8,94)(9,97)
Line51 : (0,114)(1,85)(2,86)(3,113)(4,93)(5,93)(6,105)(7,113)(8,99)(9,99)
Line52 : (0,112)(1,103)(2,106)(3,101)(4,119)(5,98)(6,95)(7,87)(8,84)(9,95)
Line53 : (0,116)(1,88)(2,97)(3,102)(4,100)(5,93)(6,95)(7,105)(8,103)(9,101)
Line54 : (0,109)(1,97)(2,98)(3,87)(4,90)(5,122)(6,88)(7,96)(8,106)(9,107)
Line55 : (0,108)(1,96)(2,87)(3,107)(4,79)(5,100)(6,115)(7,99)(8,94)(9,115)
Line56 : (0,109)(1,85)(2,107)(3,88)(4,98)(5,109)(6,100)(7,112)(8,97)(9,95)
Line57 : (0,93)(1,88)(2,82)(3,94)(4,109)(5,96)(6,107)(7,100)(8,113)(9,118)
Line58 : (0,93)(1,88)(2,101)(3,106)(4,99)(5,105)(6,94)(7,108)(8,90)(9,116)
Line59 : (0,107)(1,109)(2,100)(3,102)(4,93)(5,88)(6,108)(7,93)(8,106)(9,94)
Line60 : (0,98)(1,105)(2,81)(3,107)(4,93)(5,102)(6,108)(7,98)(8,106)(9,102)
Line61 : (0,92)(1,88)(2,98)(3,114)(4,116)(5,97)(6,88)(7,115)(8,83)(9,109)
Line62 : (0,96)(1,119)(2,94)(3,108)(4,94)(5,114)(6,99)(7,99)(8,81)(9,96)
Line63 : (0,72)(1,95)(2,102)(3,119)(4,91)(5,106)(6,92)(7,110)(8,115)(9,98)
Line64 : (0,89)(1,78)(2,112)(3,97)(4,110)(5,94)(6,109)(7,115)(8,111)(9,85)
Line65 : (0,108)(1,86)(2,96)(3,104)(4,105)(5,101)(6,106)(7,97)(8,82)(9,115)
Line66 : (0,109)(1,95)(2,96)(3,97)(4,106)(5,106)(6,102)(7,102)(8,92)(9,95)
Line67 : (0,112)(1,99)(2,92)(3,90)(4,99)(5,101)(6,100)(7,110)(8,94)(9,103)
Line68 : (0,107)(1,91)(2,100)(3,111)(4,114)(5,119)(6,89)(7,91)(8,89)(9,89)
Line69 : (0,110)(1,100)(2,94)(3,89)(4,97)(5,89)(6,95)(7,102)(8,110)(9,114)
Line70 : (0,101)(1,108)(2,95)(3,103)(4,106)(5,89)(6,98)(7,106)(8,92)(9,102)
Line71 : (0,98)(1,81)(2,86)(3,99)(4,106)(5,116)(6,110)(7,95)(8,104)(9,105)
Line72 : (0,117)(1,97)(2,105)(3,102)(4,94)(5,104)(6,94)(7,99)(8,91)(9,97)
Line73 : (0,94)(1,96)(2,95)(3,120)(4,105)(5,95)(6,93)(7,101)(8,89)(9,112)
Line74 : (0,112)(1,93)(2,96)(3,82)(4,86)(5,106)(6,106)(7,125)(8,102)(9,92)
Line75 : (0,86)(1,82)(2,85)(3,104)(4,103)(5,116)(6,108)(7,105)(8,115)(9,96)
Line76 : (0,99)(1,89)(2,99)(3,98)(4,105)(5,101)(6,116)(7,90)(8,93)(9,110)
Line77 : (0,103)(1,93)(2,90)(3,114)(4,99)(5,107)(6,95)(7,103)(8,94)(9,102)
Line78 : (0,96)(1,96)(2,103)(3,94)(4,93)(5,108)(6,97)(7,109)(8,106)(9,98)
Line79 : (0,102)(1,104)(2,107)(3,109)(4,105)(5,95)(6,105)(7,95)(8,88)(9,90)
Line80 : (0,106)(1,104)(2,99)(3,99)(4,102)(5,92)(6,108)(7,104)(8,79)(9,107)
Line81 : (0,108)(1,100)(2,95)(3,96)(4,118)(5,103)(6,78)(7,97)(8,110)(9,95)
Line82 : (0,96)(1,92)(2,104)(3,105)(4,119)(5,107)(6,103)(7,102)(8,71)(9,101)
Line83 : (0,105)(1,95)(2,104)(3,90)(4,114)(5,107)(6,88)(7,92)(8,89)(9,116)
Line84 : (0,110)(1,116)(2,82)(3,99)(4,105)(5,98)(6,106)(7,89)(8,96)(9,99)
Line85 : (0,111)(1,107)(2,91)(3,108)(4,96)(5,97)(6,83)(7,100)(8,100)(9,107)
Line86 : (0,90)(1,81)(2,106)(3,106)(4,111)(5,106)(6,109)(7,94)(8,94)(9,103)
Line87 : (0,117)(1,89)(2,101)(3,79)(4,119)(5,87)(6,102)(7,99)(8,90)(9,117)
Line88 : (0,104)(1,84)(2,113)(3,102)(4,109)(5,98)(6,101)(7,97)(8,88)(9,104)
Line89 : (0,80)(1,119)(2,104)(3,118)(4,87)(5,96)(6,93)(7,99)(8,112)(9,92)
Line90 : (0,98)(1,87)(2,94)(3,108)(4,106)(5,102)(6,94)(7,99)(8,102)(9,110)
Line91 : (0,106)(1,100)(2,111)(3,102)(4,88)(5,98)(6,108)(7,96)(8,99)(9,92)
Line92 : (0,103)(1,78)(2,100)(3,118)(4,89)(5,116)(6,108)(7,90)(8,99)(9,99)
Line93 : (0,107)(1,104)(2,109)(3,99)(4,87)(5,84)(6,106)(7,94)(8,110)(9,100)
Line94 : (0,107)(1,109)(2,106)(3,95)(4,104)(5,91)(6,96)(7,99)(8,101)(9,92)
Line95 : (0,112)(1,96)(2,104)(3,89)(4,99)(5,99)(6,109)(7,101)(8,82)(9,109)
Line96 : (0,108)(1,105)(2,89)(3,100)(4,117)(5,74)(6,97)(7,86)(8,110)(9,114)
Line97 : (0,105)(1,98)(2,98)(3,123)(4,82)(5,89)(6,90)(7,88)(8,109)(9,118)
Line98 : (0,89)(1,104)(2,90)(3,101)(4,113)(5,102)(6,120)(7,96)(8,102)(9,83)
Line99 : (0,86)(1,115)(2,100)(3,104)(4,95)(5,99)(6,107)(7,84)(8,98)(9,112)
